dataset,homophily,mode,mode_desc,coeff_scheme,hash_norm,coeff_X,coeff_A,coeff_Ax,feature_size,num_nodes,stages,mass_mode,stage_targets_pct,stage_achieved_pct,final_num_nodes,overall_reduction_ratio_pct,num_eigen,mean_relative_eigen_error,std_relative_eigen_error,max_relative_eigen_error,seconds,status
squirrel,0.2239,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",adaptive,dot,1.0,1.0,1.0,4434,5201,2,accumulate,"75.0, 50.0","74.68, 49.66",2583,50.34,100,3.6352235782146454,12.19989160646654,122.21862030029297,96.8,ok
squirrel,0.2239,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj,dot,0.7761,0.2239,0.2239,4434,5201,2,accumulate,"75.0, 50.0","75.29, 50.36",2619,49.64,100,3.1649650448560713,14.725872975095998,146.2789306640625,58.81,ok
squirrel,0.2239,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj_1mhf_ax,dot,0.7761,0.2239,0.7761,4434,5201,2,accumulate,"75.0, 50.0","75.81, 50.62",2633,49.38,100,2.8548199832439423,5.988058880759086,60.56483459472656,77.16,ok
squirrel,0.2239,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",1mhf_adj_hf_ax,dot,0.7761,0.7761,0.2239,4434,5201,2,accumulate,"75.0, 50.0","74.58, 49.72",2586,50.28,100,2.399518950711936,12.41032395803003,110.9676742553711,78.24,ok
