dataset,homophily,mode,mode_desc,coeff_scheme,hash_norm,coeff_X,coeff_A,coeff_Ax,feature_size,num_nodes,stages,mass_mode,stage_targets_pct,stage_achieved_pct,final_num_nodes,overall_reduction_ratio_pct,num_eigen,mean_relative_eigen_error,std_relative_eigen_error,max_relative_eigen_error,seconds,status
cs,0.8081,x_aproj,"concat(X, A_proj)",hf_adj,dot,0.1919,0.8081,0.8081,7061,18333,2,accumulate,"75.0, 50.0","74.44, 49.95",9157,50.05,100,0.8915396547317505,0.4268174467565246,3.174490451812744,674.92,ok
cs,0.8081,x_aproj,"concat(X, A_proj)",hf_adj_1mhf_ax,dot,0.1919,0.8081,0.1919,7061,18333,2,accumulate,"75.0, 50.0","75.44, 50.76",9306,49.24,100,0.8418182957172394,0.4334134644834493,3.377563714981079,519.53,ok
cs,0.8081,x_aproj,"concat(X, A_proj)",1mhf_adj_hf_ax,dot,0.1919,0.1919,0.8081,7061,18333,2,accumulate,"75.0, 50.0","74.08, 49.77",9124,50.23,100,1.1063182991743088,0.33797074689424195,2.6747069358825684,639.24,ok
cs,0.8081,x_a,"concat(X, raw A)",hf_adj,dot,0.1919,0.8081,0.8081,25138,18333,2,accumulate,"75.0, 50.0","75.6, 49.94",9155,50.06,100,1.1044122111797332,0.4837550794440745,4.333200454711914,630.1,ok
cs,0.8081,x_a,"concat(X, raw A)",hf_adj_1mhf_ax,dot,0.1919,0.8081,0.1919,25138,18333,2,accumulate,"75.0, 50.0","74.68, 49.99",9165,50.01,100,1.0848226577043534,0.5906445341162124,4.762914180755615,568.0,ok
cs,0.8081,x_a,"concat(X, raw A)",1mhf_adj_hf_ax,dot,0.1919,0.1919,0.8081,25138,18333,2,accumulate,"75.0, 50.0","74.63, 49.27",9032,50.73,100,1.1866464608907699,0.3987015570657106,2.866683006286621,696.37,ok
cs,0.8081,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj,dot,0.1919,0.8081,0.8081,13866,18333,2,accumulate,"75.0, 50.0","75.71, 50.14",9193,49.86,100,1.4907980966567993,0.7413717553547772,6.286203384399414,495.1,ok
cs,0.8081,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj_1mhf_ax,dot,0.1919,0.8081,0.1919,13866,18333,2,accumulate,"75.0, 50.0","75.07, 49.66",9105,50.34,100,0.8682216960191727,0.40712807263059325,3.2063050270080566,493.71,ok
cs,0.8081,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",1mhf_adj_hf_ax,dot,0.1919,0.1919,0.8081,13866,18333,2,accumulate,"75.0, 50.0","75.21, 50.74",9303,49.26,100,2.7553869730234144,3.7560118873160406,29.262027740478516,668.24,ok
