dataset,homophily,mode,mode_desc,coeff_scheme,hash_norm,coeff_X,coeff_A,coeff_Ax,feature_size,num_nodes,stages,mass_mode,stage_targets_pct,stage_achieved_pct,final_num_nodes,overall_reduction_ratio_pct,num_eigen,mean_relative_eigen_error,std_relative_eigen_error,max_relative_eigen_error,seconds,status
computers,0.7772,x_aproj,"concat(X, A_proj)",hf_adj,dot,0.2228,0.7772,0.7772,1023,13752,2,accumulate,"75.0, 50.0","75.1, 50.17",6899,49.83,100,0.7690180975198746,0.42120347963080934,4.053661346435547,609.92,ok
computers,0.7772,x_aproj,"concat(X, A_proj)",hf_adj_1mhf_ax,dot,0.2228,0.7772,0.2228,1023,13752,2,accumulate,"75.0, 50.0","74.88, 49.65",6828,50.35,100,0.9057628828287124,0.34188907430910814,3.205275535583496,589.68,ok
computers,0.7772,x_aproj,"concat(X, A_proj)",1mhf_adj_hf_ax,dot,0.2228,0.2228,0.7772,1023,13752,2,accumulate,"75.0, 50.0","75.58, 50.11",6891,49.89,100,1.4851176702976228,1.2341419794258277,12.8052396774292,637.88,ok
computers,0.7772,x_a,"concat(X, raw A)",hf_adj,dot,0.2228,0.7772,0.7772,14519,13752,2,accumulate,"75.0, 50.0","75.09, 50.28",6915,49.72,100,1.0203493684530258,0.6199706299317957,5.872458457946777,474.8,ok
computers,0.7772,x_a,"concat(X, raw A)",hf_adj_1mhf_ax,dot,0.2228,0.7772,0.2228,14519,13752,2,accumulate,"75.0, 50.0","75.37, 49.97",6872,50.03,100,1.070675738453865,0.855826964420346,9.263398170471191,426.29,ok
computers,0.7772,x_a,"concat(X, raw A)",1mhf_adj_hf_ax,dot,0.2228,0.2228,0.7772,14519,13752,2,accumulate,"75.0, 50.0","74.8, 49.86",6857,50.14,100,0.7140243487432599,3.65827438185942,36.8981819152832,621.52,ok
computers,0.7772,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj,dot,0.2228,0.7772,0.7772,1790,13752,2,accumulate,"75.0, 50.0","75.66, 51.04",7019,48.96,100,0.901116113960743,0.5000726520587728,5.723093032836914,612.91,ok
computers,0.7772,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj_1mhf_ax,dot,0.2228,0.7772,0.2228,1790,13752,2,accumulate,"75.0, 50.0","75.38, 50.11",6891,49.89,100,0.7442545369267464,0.5196904549297834,4.706095218658447,583.76,ok
computers,0.7772,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",1mhf_adj_hf_ax,dot,0.2228,0.2228,0.7772,1790,13752,2,accumulate,"75.0, 50.0","74.35, 49.7",6835,50.3,100,1.6180602240562438,1.574113847842572,16.784517288208008,700.28,ok
