dataset,homophily,mode,mode_desc,coeff_scheme,hash_norm,coeff_X,coeff_A,coeff_Ax,feature_size,num_nodes,stages,mass_mode,stage_targets_pct,stage_achieved_pct,final_num_nodes,overall_reduction_ratio_pct,num_eigen,mean_relative_eigen_error,std_relative_eigen_error,max_relative_eigen_error,seconds,status
squirrel,0.2239,x_aproj,"concat(X, A_proj)",hf_adj,dot,0.7761,0.2239,0.2239,2345,5201,2,accumulate,"75.0, 50.0","75.37, 50.66",2635,49.34,100,3.4981787168979643,11.430335953117579,107.03439331054688,76.66,ok
squirrel,0.2239,x_aproj,"concat(X, A_proj)",hf_adj_1mhf_ax,dot,0.7761,0.2239,0.7761,2345,5201,2,accumulate,"75.0, 50.0","74.35, 50.2",2611,49.8,100,3.596947772502899,11.93590327478014,112.218017578125,54.87,ok
squirrel,0.2239,x_aproj,"concat(X, A_proj)",1mhf_adj_hf_ax,dot,0.7761,0.7761,0.2239,2345,5201,2,accumulate,"75.0, 50.0","74.31, 49.84",2592,50.16,100,3.4853664504364135,12.285356402676266,111.2027816772461,45.71,ok
squirrel,0.2239,x_a,"concat(X, raw A)",hf_adj,dot,0.7761,0.2239,0.2239,7290,5201,2,accumulate,"75.0, 50.0","75.58, 50.86",2645,49.14,100,3.2251562133058904,15.889689753257352,154.99168395996094,63.54,ok
squirrel,0.2239,x_a,"concat(X, raw A)",hf_adj_1mhf_ax,dot,0.7761,0.2239,0.7761,7290,5201,2,accumulate,"75.0, 50.0","75.12, 50.24",2613,49.76,100,3.003425062149763,14.596248237960811,144.2116241455078,119.38,ok
squirrel,0.2239,x_a,"concat(X, raw A)",1mhf_adj_hf_ax,dot,0.7761,0.7761,0.2239,7290,5201,2,accumulate,"75.0, 50.0","75.24, 50.05",2603,49.95,100,2.4121127772331237,12.284934007839723,110.13626098632812,76.74,ok
squirrel,0.2239,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj,dot,0.7761,0.2239,0.2239,4434,5201,2,accumulate,"75.0, 50.0","75.16, 50.62",2633,49.38,100,2.9660189780840303,15.67832329691402,151.85972595214844,67.84,ok
squirrel,0.2239,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj_1mhf_ax,dot,0.7761,0.2239,0.7761,4434,5201,2,accumulate,"75.0, 50.0","74.41, 49.86",2593,50.14,100,2.1078937637619672,12.945162991839851,128.3446807861328,45.98,ok
squirrel,0.2239,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",1mhf_adj_hf_ax,dot,0.7761,0.7761,0.2239,4434,5201,2,accumulate,"75.0, 50.0","75.27, 50.26",2614,49.74,100,3.541560972779989,12.972468504189592,118.99898529052734,48.87,ok
