dataset,homophily,mode,mode_desc,coeff_scheme,hash_norm,coeff_X,coeff_A,coeff_Ax,feature_size,num_nodes,stages,mass_mode,stage_targets_pct,stage_achieved_pct,final_num_nodes,overall_reduction_ratio_pct,num_eigen,mean_relative_eigen_error,std_relative_eigen_error,max_relative_eigen_error,seconds,status
chameleon,0.235,x_aproj,"concat(X, A_proj)",hf_adj,dot,0.765,0.235,0.235,2581,2277,2,accumulate,"75.0, 50.0","74.22, 49.63",1130,50.37,100,1.0198655224591493,3.318240028017398,32.422489166259766,105.81,ok
chameleon,0.235,x_aproj,"concat(X, A_proj)",hf_adj_1mhf_ax,dot,0.765,0.235,0.765,2581,2277,2,accumulate,"75.0, 50.0","75.8, 50.46",1149,49.54,100,0.9655129785090685,3.4502155430930466,34.57325744628906,83.29,ok
chameleon,0.235,x_aproj,"concat(X, A_proj)",1mhf_adj_hf_ax,dot,0.765,0.765,0.235,2581,2277,2,accumulate,"75.0, 50.0","74.48, 49.36",1124,50.64,100,1.4995701684802771,2.8342544490795674,17.61172866821289,71.5,ok
chameleon,0.235,x_a,"concat(X, raw A)",hf_adj,dot,0.765,0.235,0.235,4602,2277,2,accumulate,"75.0, 50.0","74.04, 49.93",1137,50.07,100,0.9981083462387323,3.5412799512287725,34.753849029541016,79.84,ok
chameleon,0.235,x_a,"concat(X, raw A)",hf_adj_1mhf_ax,dot,0.765,0.235,0.765,4602,2277,2,accumulate,"75.0, 50.0","75.1, 49.63",1130,50.37,100,1.014186400398612,3.55587927507804,35.38454818725586,88.65,ok
chameleon,0.235,x_a,"concat(X, raw A)",1mhf_adj_hf_ax,dot,0.765,0.765,0.235,4602,2277,2,accumulate,"75.0, 50.0","75.45, 50.72",1155,49.28,100,1.5135169307142495,2.7480341884502706,16.33722686767578,69.33,ok
chameleon,0.235,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj,dot,0.765,0.235,0.235,4906,2277,2,accumulate,"75.0, 50.0","75.58, 50.55",1151,49.45,100,1.1248914263397456,3.8172657447008156,37.504817962646484,76.17,ok
chameleon,0.235,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj_1mhf_ax,dot,0.765,0.235,0.765,4906,2277,2,accumulate,"75.0, 50.0","74.35, 49.19",1120,50.81,100,1.531268039047718,3.048787835092501,21.268156051635742,83.49,ok
chameleon,0.235,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",1mhf_adj_hf_ax,dot,0.765,0.765,0.235,4906,2277,2,accumulate,"75.0, 50.0","75.49, 49.71",1132,50.29,100,1.4203946976736188,2.7780389178328173,17.013959884643555,67.75,ok
