dataset,homophily,mode,mode_desc,coeff_scheme,hash_norm,coeff_X,coeff_A,coeff_Ax,feature_size,num_nodes,stages,mass_mode,stage_targets_pct,stage_achieved_pct,final_num_nodes,overall_reduction_ratio_pct,num_eigen,mean_relative_eigen_error,std_relative_eigen_error,max_relative_eigen_error,seconds,status
texas,0.1077,x_aproj,"concat(X, A_proj)",hf_adj,dot,0.8923,0.1077,0.1077,1959,183,2,accumulate,"75.0, 50.0","74.86, 50.27",92,49.73,80,0.5193189918703865,0.4258469228696474,2.5067591667175293,9.2,ok
texas,0.1077,x_aproj,"concat(X, A_proj)",hf_adj_1mhf_ax,dot,0.8923,0.1077,0.8923,1959,183,2,accumulate,"75.0, 50.0","75.41, 49.73",91,50.27,80,0.4697645021122298,0.48204434361610277,2.7684710025787354,9.8,ok
texas,0.1077,x_aproj,"concat(X, A_proj)",1mhf_adj_hf_ax,dot,0.8923,0.8923,0.1077,1959,183,2,accumulate,"75.0, 50.0","74.32, 50.27",92,49.73,80,0.15393928762696305,0.18577790567923505,0.879433810710907,8.48,ok
texas,0.1077,x_a,"concat(X, raw A)",hf_adj,dot,0.8923,0.1077,0.1077,1886,183,2,accumulate,"75.0, 50.0","75.96, 50.27",92,49.73,80,0.43538903038424903,0.41154007348427196,1.670227289199829,10.63,ok
texas,0.1077,x_a,"concat(X, raw A)",hf_adj_1mhf_ax,dot,0.8923,0.1077,0.8923,1886,183,2,accumulate,"75.0, 50.0","75.96, 51.37",94,48.63,80,0.44015347449603726,0.4399338551022206,2.4043986797332764,10.21,ok
texas,0.1077,x_a,"concat(X, raw A)",1mhf_adj_hf_ax,dot,0.8923,0.8923,0.1077,1886,183,2,accumulate,"75.0, 50.0","75.41, 49.73",91,50.27,80,0.17268504828274372,0.23385786287172938,1.040551781654358,7.36,ok
texas,0.1077,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj,dot,0.8923,0.1077,0.1077,3662,183,2,accumulate,"75.0, 50.0","74.32, 50.27",92,49.73,80,0.530796090819058,0.48124910349145306,2.82828688621521,10.62,ok
texas,0.1077,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",hf_adj_1mhf_ax,dot,0.8923,0.1077,0.8923,3662,183,2,accumulate,"75.0, 50.0","74.32, 49.18",90,50.82,80,0.29864326016395354,0.3481979473227303,1.3523892164230347,6.85,ok
texas,0.1077,x_aproj_ax,"concat(X, A_proj, Ax=A.X)",1mhf_adj_hf_ax,dot,0.8923,0.8923,0.1077,3662,183,2,accumulate,"75.0, 50.0","74.86, 49.18",90,50.82,80,0.1843859565427916,0.22575126414424201,1.1354541778564453,6.48,ok
